task_id,dataset,dataset_source,strategy,repo,run_mode,reportable,task_is_fixture,task_is_real_world,provider,model,provider_is_mock,pass_rate,initial_pass,final_pass,final_status,repair_rounds,repair_gain,edited_file_count,edited_files,files_inspected_count,files_inspected,files_proposed_count,proposed_files,candidate_files,localized_repair_rate,localization_precision,localization_recall,target_file_precision,target_file_recall,implementation_precision,implementation_recall,missing_target_files,missing_expected_files,missing_implementation_files,expected_file_count,implementation_file_count,ground_truth_precision,ground_truth_recall,ground_truth_file_count,oracle_file_precision,oracle_file_recall,oracle_file_count,missing_oracle_files,under_localized_ground_truth,under_localized_targets,implementation_under_localized,candidate_overlap_rate,tokens_used,planning_time,build_failures,test_failures,timeout_rate,full_regeneration_rate,avg_subtasks_touched,multi_file_attempt_rate,avg_attempt_file_count,dominant_failing_tests,dominant_failure_modes,dominant_failure_category,dominant_semantic_failure,contract_coverage,contract_satisfied,contract_unsatisfied,contract_failure_categories,contract_failure_cases,failing_tests_after_run,retrieval_mode,retrieval_candidate_count,retrieval_scanned_files,retrieval_content_inspected,round_trace_path,setup_status,setup_duration,setup_plan_strategy,setup_requires_network,setup_last_log,setup_summary_path,multi_file_edit,expected_multi_file,implementation_multi_file_edit,implementation_multi_file_expected
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js,1.0,modules/Problems/services/ProblemsService.js,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9072.0,35.20049795800019,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,aggregation,0.6666666666666666,component_limit_respected;deterministic_component_languages,component_metadata_totals,aggregation:1,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_component_metadata_summary.json,success,5.238074500000039,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/contract_first/logs/setup_summary.json,0.0,0.0,0.0,0.0
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js,1.0,modules/Problems/services/ProblemsService.js,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9008.0,33.279816958000715,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,aggregation,0.6666666666666666,component_limit_respected;deterministic_component_languages,component_metadata_totals,aggregation:1,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_component_metadata_summary.json,success,7.192090874999849,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/failure_mode_first/logs/setup_summary.json,0.0,0.0,0.0,0.0
tc_arena_component_metadata_summary,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,1.0,1.0,1.0,passed_initial,0.0,0.0,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.components.meta.spec.js;data/problems.json,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,modules/Problems/services/ProblemsService.js;test/problems.components.meta.spec.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.list.spec.js;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/js-beautify/CHANGELOG.md;node_modules/is-windows/README.md;node_modules/lodash/lodash.js;node_modules/on-headers/index.js,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,1500,400,,success,6.465340624999953,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_component_metadata_summary/oracle_teacher/logs/setup_summary.json,1.0,0.0,0.0,0.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.detail.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9183.0,31.550318668000628,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,aggregation,0.3333333333333333,missing_problem_404,component_stats_payload;controller_service_boundary,aggregation:1;architecture:1,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_detail.json,success,4.804497000000083,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/contract_first/logs/setup_summary.json,0.0,1.0,0.0,0.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.detail.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9188.0,37.93842833300023,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,aggregation,0.3333333333333333,missing_problem_404,component_stats_payload;controller_service_boundary,aggregation:1;architecture:1,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_problem_detail.json,success,5.957332250000036,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/failure_mode_first/logs/setup_summary.json,0.0,1.0,0.0,0.0
tc_arena_problem_detail,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,1.0,1.0,1.0,passed_initial,0.0,0.0,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.detail.spec.js;data/problems.json,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,test/problems.detail.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/globals/globals.json;test/problems.components.meta.spec.js;node_modules/es5-ext/README.md;node_modules/workerpool/README.md;node_modules/chai/History.md;node_modules/chai/ReleaseNotes.md;node_modules/eslint-plugin-import/README.md;package-lock.json,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,1500,400,,success,6.708990750000339,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_detail/oracle_teacher/logs/setup_summary.json,1.0,0.0,0.0,0.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9391.0,37.36897712499918,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,aggregation,0.75,difficulty_limit_metadata;sorted_round_id;component_lang_sorting,include_components_metadata,aggregation:1,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_listing.json,success,5.666975083999205,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/contract_first/logs/setup_summary.json,0.0,1.0,0.0,0.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,failure_mode_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9335.0,34.642129832998606,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,,1.0,difficulty_limit_metadata;sorted_round_id;include_components_metadata;component_lang_sorting,,,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/failure_mode_first/tc_arena_problem_listing.json,success,6.2516713750001145,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/failure_mode_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/failure_mode_first/logs/setup_summary.json,0.0,1.0,0.0,0.0
tc_arena_problem_listing,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,oracle_teacher,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,1.0,1.0,1.0,passed_initial,0.0,0.0,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,4.0,modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;test/problems.list.spec.js;data/problems.json,2.0,modules/Problems/services/ProblemsService.js;test/problems.list.spec.js,test/problems.list.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;test/problems.components.meta.spec.js;test/problems.tags.spec.js;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/globals/globals.json;node_modules/jws/readme.md;node_modules/lodash/core.js;node_modules/es5-ext/CHANGES,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,"path,content",12,1500,400,,success,6.758340792000126,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/oracle_teacher/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_listing/oracle_teacher/logs/setup_summary.json,1.0,0.0,0.0,0.0
tc_arena_problem_tags_filter,topcoder_arena_srm,a160ded4-e34a-4989-b2a2-d09ead684045,contract_first,/Users/karanallagh/Desktop/DataCollector/experiments/real_repos/tc-template-node-postgres,real_world_research,True,False,True,openai,gpt-4.1-mini,False,0.0,0.0,0.0,exhausted_repairs,2.0,0.0,1.0,modules/Problems/services/ProblemsService.js,4.0,data/problems.json;modules/Problems/controllers/ProblemsController.js;modules/Problems/services/ProblemsService.js;test/problems.tags.spec.js,1.0,modules/Problems/services/ProblemsService.js,test/problems.tags.spec.js;modules/Problems/services/ProblemsService.js;modules/Problems/controllers/ProblemsController.js;data/problems.json;node_modules/js-beautify/CHANGELOG.md;node_modules/js-beautify/README.md;node_modules/lodash/core.js;node_modules/lodash/lodash.js;test/problems.list.spec.js;package-lock.json;node_modules/.package-lock.json;node_modules/globals/globals.json,1.0,1.0,0.08333333333333333,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,test/problems.list.spec.js,1.0,0.0,0.0,1.0,9208.0,35.27899920800109,0.0,0.0,0.0,0.0,2.0,0.0,1.0,tests_0,fail::,fail::,filtering,0.3333333333333333,single_tag_filter,multi_tag_union;array_tag_filter,filtering:2,,tests_0,"path,content",12,1500,400,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/traces/contract_first/tc_arena_problem_tags_filter.json,success,7.084446208000372,task_defined,1.0,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/contract_first/logs/setup_0_setup.log,/Users/karanallagh/Desktop/DataCollector/reports/decomposition/real_world/real_repo/runs/tc_arena_problem_tags_filter/contract_first/logs/setup_summary.json,0.0,0.0,0.0,0.0
